count_point_id,direction_of_travel,year,count_date,hour,region_id,region_name,local_authority_id,local_authority_name,road_name,road_type,start_junction_road_name,end_junction_road_name,easting,northing,latitude,longitude,link_length_km,link_length_miles,pedal_cycles,two_wheeled_motor_vehicles,cars_and_taxis,buses_and_coaches,lgvs,hgvs_2_rigid_axle,hgvs_3_rigid_axle,hgvs_4_or_more_rigid_axle,hgvs_3_or_4_articulated_axle,hgvs_5_articulated_axle,hgvs_6_articulated_axle,all_hgvs,all_motor_vehicles
7817,E,2020,2020-04-21,7,8,Yorkshire and The Humber,159,Sheffield,A6102,Major,A6109,A6135,438000,390040,53.40583498,-1.42987381,1.7,1.06,3,2,252,1,51,8,6,18,0,2,4,38,344
7817,E,2020,2020-04-21,18,8,Yorkshire and The Humber,159,Sheffield,A6102,Major,A6109,A6135,438000,390040,53.40583498,-1.42987381,1.7,1.06,0,1,252,0,42,2,0,1,0,0,0,3,298
7817,E,2020,2020-04-21,13,8,Yorkshire and The Humber,159,Sheffield,A6102,Major,A6109,A6135,438000,390040,53.40583498,-1.42987381,1.7,1.06,3,4,306,1,93,7,4,22,0,0,4,37,441
7817,W,2020,2020-04-21,8,8,Yorkshire and The Humber,159,Sheffield,A6102,Major,A6109,A6135,438000,390040,53.40583498,-1.42987381,1.7,1.06,0,2,290,1,82,12,5,31,0,2,2,52,427
7817,W,2020,2020-04-21,11,8,Yorkshire and The Humber,159,Sheffield,A6102,Major,A6109,A6135,438000,390040,53.40583498,-1.42987381,1.7,1.06,2,2,230,0,101,11,1,17,0,1,3,33,366
7817,W,2020,2020-04-21,16,8,Yorkshire and The Humber,159,Sheffield,A6102,Major,A6109,A6135,438000,390040,53.40583498,-1.42987381,1.7,1.06,4,7,340,1,79,2,1,25,0,3,1,32,459
7817,W,2020,2020-04-21,18,8,Yorkshire and The Humber,159,Sheffield,A6102,Major,A6109,A6135,438000,390040,53.40583498,-1.42987381,1.7,1.06,5,0,276,1,54,0,0,0,0,1,1,2,333
7817,E,2020,2020-04-21,15,8,Yorkshire and The Humber,159,Sheffield,A6102,Major,A6109,A6135,438000,390040,53.40583498,-1.42987381,1.7,1.06,5,2,311,1,96,5,3,10,0,2,0,20,430
7817,E,2020,2020-04-21,16,8,Yorkshire and The Humber,159,Sheffield,A6102,Major,A6109,A6135,438000,390040,53.40583498,-1.42987381,1.7,1.06,5,7,379,0,52,3,1,2,0,0,0,6,444
7817,E,2020,2020-04-21,17,8,Yorkshire and The Humber,159,Sheffield,A6102,Major,A6109,A6135,438000,390040,53.40583498,-1.42987381,1.7,1.06,7,0,377,1,54,0,1,2,0,1,1,5,437
7817,E,2020,2020-04-21,8,8,Yorkshire and The Humber,159,Sheffield,A6102,Major,A6109,A6135,438000,390040,53.40583498,-1.42987381,1.7,1.06,1,3,176,0,81,10,7,25,0,1,6,49,309
7817,E,2020,2020-04-21,11,8,Yorkshire and The Humber,159,Sheffield,A6102,Major,A6109,A6135,438000,390040,53.40583498,-1.42987381,1.7,1.06,2,3,253,1,207,6,6,17,1,2,0,32,496
7817,W,2020,2020-04-21,15,8,Yorkshire and The Humber,159,Sheffield,A6102,Major,A6109,A6135,438000,390040,53.40583498,-1.42987381,1.7,1.06,4,5,310,0,59,7,3,23,0,0,2,35,409
7817,W,2020,2020-04-21,14,8,Yorkshire and The Humber,159,Sheffield,A6102,Major,A6109,A6135,438000,390040,53.40583498,-1.42987381,1.7,1.06,4,6,357,1,90,5,5,22,1,3,1,37,491
7817,W,2020,2020-04-21,13,8,Yorkshire and The Humber,159,Sheffield,A6102,Major,A6109,A6135,438000,390040,53.40583498,-1.42987381,1.7,1.06,4,0,302,0,75,11,6,21,0,3,2,43,420
7817,E,2020,2020-04-21,10,8,Yorkshire and The Humber,159,Sheffield,A6102,Major,A6109,A6135,438000,390040,53.40583498,-1.42987381,1.7,1.06,4,4,181,0,246,8,4,23,0,2,0,37,468
7817,W,2020,2020-04-21,9,8,Yorkshire and The Humber,159,Sheffield,A6102,Major,A6109,A6135,438000,390040,53.40583498,-1.42987381,1.7,1.06,3,0,163,0,107,7,7,14,0,2,0,30,300
7817,W,2020,2020-04-21,10,8,Yorkshire and The Humber,159,Sheffield,A6102,Major,A6109,A6135,438000,390040,53.40583498,-1.42987381,1.7,1.06,1,3,183,1,104,8,10,21,1,1,2,43,334
7817,E,2020,2020-04-21,9,8,Yorkshire and The Humber,159,Sheffield,A6102,Major,A6109,A6135,438000,390040,53.40583498,-1.42987381,1.7,1.06,4,1,160,1,72,14,12,18,1,0,1,46,280
7817,E,2020,2020-04-21,12,8,Yorkshire and The Humber,159,Sheffield,A6102,Major,A6109,A6135,438000,390040,53.40583498,-1.42987381,1.7,1.06,5,1,290,0,64,4,3,18,0,2,2,29,384
7817,E,2020,2020-04-21,14,8,Yorkshire and The Humber,159,Sheffield,A6102,Major,A6109,A6135,438000,390040,53.40583498,-1.42987381,1.7,1.06,4,0,286,0,80,4,2,22,0,1,5,34,400
7817,W,2024,2024-06-05,9,8,Yorkshire and The Humber,159,Sheffield,A6102,Major,A6109,A6135,438000,390040,53.40583498,-1.42987381,1.7,1.06,1,1,461,2,131,18,4,4,1,2,3,32,627
7817,E,2024,2024-06-05,9,8,Yorkshire and The Humber,159,Sheffield,A6102,Major,A6109,A6135,438000,390040,53.40583498,-1.42987381,1.7,1.06,2,1,506,1,141,15,4,8,1,3,0,31,680
7817,W,2024,2024-06-05,11,8,Yorkshire and The Humber,159,Sheffield,A6102,Major,A6109,A6135,438000,390040,53.40583498,-1.42987381,1.7,1.06,3,0,411,2,135,18,4,19,0,2,2,45,593
7817,W,2024,2024-06-05,13,8,Yorkshire and The Humber,159,Sheffield,A6102,Major,A6109,A6135,438000,390040,53.40583498,-1.42987381,1.7,1.06,1,1,513,0,113,11,2,17,1,3,3,37,664
7817,W,2024,2024-06-05,16,8,Yorkshire and The Humber,159,Sheffield,A6102,Major,A6109,A6135,438000,390040,53.40583498,-1.42987381,1.7,1.06,7,11,725,2,106,6,2,10,0,2,6,26,870
7817,E,2024,2024-06-05,13,8,Yorkshire and The Humber,159,Sheffield,A6102,Major,A6109,A6135,438000,390040,53.40583498,-1.42987381,1.7,1.06,3,3,587,1,103,10,3,12,0,2,7,34,728
7817,W,2024,2024-06-05,12,8,Yorkshire and The Humber,159,Sheffield,A6102,Major,A6109,A6135,438000,390040,53.40583498,-1.42987381,1.7,1.06,2,1,498,2,92,16,3,6,0,2,6,33,626
7817,E,2024,2024-06-05,17,8,Yorkshire and The Humber,159,Sheffield,A6102,Major,A6109,A6135,438000,390040,53.40583498,-1.42987381,1.7,1.06,7,2,701,2,60,5,0,1,0,1,2,9,774
7817,W,2024,2024-06-05,15,8,Yorkshire and The Humber,159,Sheffield,A6102,Major,A6109,A6135,438000,390040,53.40583498,-1.42987381,1.7,1.06,11,5,575,0,101,11,4,19,1,1,5,41,722
7817,E,2024,2024-06-05,18,8,Yorkshire and The Humber,159,Sheffield,A6102,Major,A6109,A6135,438000,390040,53.40583498,-1.42987381,1.7,1.06,2,2,587,1,65,1,1,1,0,1,3,7,662
7817,W,2024,2024-06-05,10,8,Yorkshire and The Humber,159,Sheffield,A6102,Major,A6109,A6135,438000,390040,53.40583498,-1.42987381,1.7,1.06,0,4,408,2,118,12,0,17,1,1,6,37,569
7817,W,2024,2024-06-05,8,8,Yorkshire and The Humber,159,Sheffield,A6102,Major,A6109,A6135,438000,390040,53.40583498,-1.42987381,1.7,1.06,2,0,548,4,139,13,2,8,0,0,5,28,719
7817,E,2024,2024-06-05,15,8,Yorkshire and The Humber,159,Sheffield,A6102,Major,A6109,A6135,438000,390040,53.40583498,-1.42987381,1.7,1.06,3,3,579,0,110,13,5,7,2,3,0,30,722
7817,E,2024,2024-06-05,12,8,Yorkshire and The Humber,159,Sheffield,A6102,Major,A6109,A6135,438000,390040,53.40583498,-1.42987381,1.7,1.06,1,2,552,1,172,11,2,11,0,3,2,29,756
7817,E,2024,2024-06-05,10,8,Yorkshire and The Humber,159,Sheffield,A6102,Major,A6109,A6135,438000,390040,53.40583498,-1.42987381,1.7,1.06,3,2,428,2,193,13,4,11,2,1,0,31,656
7817,E,2024,2024-06-05,7,8,Yorkshire and The Humber,159,Sheffield,A6102,Major,A6109,A6135,438000,390040,53.40583498,-1.42987381,1.7,1.06,6,1,581,1,103,14,1,12,5,0,3,35,721
7817,W,2024,2024-06-05,18,8,Yorkshire and The Humber,159,Sheffield,A6102,Major,A6109,A6135,438000,390040,53.40583498,-1.42987381,1.7,1.06,1,3,565,1,88,1,4,0,0,0,0,5,662
7817,W,2024,2024-06-05,7,8,Yorkshire and The Humber,159,Sheffield,A6102,Major,A6109,A6135,438000,390040,53.40583498,-1.42987381,1.7,1.06,4,3,608,3,89,7,3,8,2,4,1,25,728
7817,W,2024,2024-06-05,17,8,Yorkshire and The Humber,159,Sheffield,A6102,Major,A6109,A6135,438000,390040,53.40583498,-1.42987381,1.7,1.06,2,4,738,0,90,4,1,2,0,0,0,7,839
7817,E,2024,2024-06-05,8,8,Yorkshire and The Humber,159,Sheffield,A6102,Major,A6109,A6135,438000,390040,53.40583498,-1.42987381,1.7,1.06,4,2,533,3,114,15,3,7,2,2,2,31,683
7817,E,2024,2024-06-05,16,8,Yorkshire and The Humber,159,Sheffield,A6102,Major,A6109,A6135,438000,390040,53.40583498,-1.42987381,1.7,1.06,9,5,687,1,84,5,3,3,0,4,0,15,792
7817,W,2024,2024-06-05,14,8,Yorkshire and The Humber,159,Sheffield,A6102,Major,A6109,A6135,438000,390040,53.40583498,-1.42987381,1.7,1.06,6,3,548,1,138,17,7,22,0,4,2,52,742
7817,E,2024,2024-06-05,14,8,Yorkshire and The Humber,159,Sheffield,A6102,Major,A6109,A6135,438000,390040,53.40583498,-1.42987381,1.7,1.06,6,2,542,1,146,17,2,13,0,1,4,37,728
7817,E,2024,2024-06-05,11,8,Yorkshire and The Humber,159,Sheffield,A6102,Major,A6109,A6135,438000,390040,53.40583498,-1.42987381,1.7,1.06,4,2,468,1,250,17,3,11,2,3,4,40,761
7818,N,2020,2020-06-05,14,8,Yorkshire and The Humber,159,Sheffield,A6102,Major,A61,A6135,436000,381680,53.33083332,-1.46090438,6.1,3.79,2,2,810,2,215,22,15,12,0,2,7,58,1087
7818,N,2020,2020-06-05,18,8,Yorkshire and The Humber,159,Sheffield,A6102,Major,A61,A6135,436000,381680,53.33083332,-1.46090438,6.1,3.79,5,2,601,2,103,3,0,0,0,2,1,6,714
7818,N,2020,2020-06-05,8,8,Yorkshire and The Humber,159,Sheffield,A6102,Major,A61,A6135,436000,381680,53.33083332,-1.46090438,6.1,3.79,1,3,636,1,184,13,4,8,2,8,5,40,864
7818,S,2020,2020-06-05,10,8,Yorkshire and The Humber,159,Sheffield,A6102,Major,A61,A6135,436000,381680,53.33083332,-1.46090438,6.1,3.79,1,1,543,1,162,21,6,14,0,3,3,47,754
7818,S,2020,2020-06-05,12,8,Yorkshire and The Humber,159,Sheffield,A6102,Major,A61,A6135,436000,381680,53.33083332,-1.46090438,6.1,3.79,0,2,738,0,173,19,1,3,1,5,5,34,947
7818,S,2020,2020-06-05,11,8,Yorkshire and The Humber,159,Sheffield,A6102,Major,A61,A6135,436000,381680,53.33083332,-1.46090438,6.1,3.79,1,6,691,0,192,24,1,6,3,5,3,42,931
7818,N,2020,2020-06-05,15,8,Yorkshire and The Humber,159,Sheffield,A6102,Major,A61,A6135,436000,381680,53.33083332,-1.46090438,6.1,3.79,3,2,902,2,241,16,4,5,1,6,3,35,1182
7818,N,2020,2020-06-05,11,8,Yorkshire and The Humber,159,Sheffield,A6102,Major,A61,A6135,436000,381680,53.33083332,-1.46090438,6.1,3.79,1,4,636,0,170,21,7,8,2,5,8,51,861
7818,S,2020,2020-06-05,13,8,Yorkshire and The Humber,159,Sheffield,A6102,Major,A61,A6135,436000,381680,53.33083332,-1.46090438,6.1,3.79,1,4,849,0,174,18,6,7,0,9,4,44,1071
7818,S,2020,2020-06-05,17,8,Yorkshire and The Humber,159,Sheffield,A6102,Major,A61,A6135,436000,381680,53.33083332,-1.46090438,6.1,3.79,0,4,965,0,124,1,0,0,0,2,0,3,1096
7818,S,2020,2020-06-05,14,8,Yorkshire and The Humber,159,Sheffield,A6102,Major,A61,A6135,436000,381680,53.33083332,-1.46090438,6.1,3.79,0,5,882,0,173,12,3,7,0,4,8,34,1094
7818,S,2020,2020-06-05,8,8,Yorkshire and The Humber,159,Sheffield,A6102,Major,A61,A6135,436000,381680,53.33083332,-1.46090438,6.1,3.79,0,1,559,0,282,26,5,7,1,5,10,54,896
7818,S,2020,2020-06-05,7,8,Yorkshire and The Humber,159,Sheffield,A6102,Major,A61,A6135,436000,381680,53.33083332,-1.46090438,6.1,3.79,4,4,524,0,252,21,10,7,2,5,5,50,830
7818,N,2020,2020-06-05,13,8,Yorkshire and The Humber,159,Sheffield,A6102,Major,A61,A6135,436000,381680,53.33083332,-1.46090438,6.1,3.79,4,3,827,1,213,15,2,4,1,2,1,25,1069
7818,N,2020,2020-06-05,10,8,Yorkshire and The Humber,159,Sheffield,A6102,Major,A61,A6135,436000,381680,53.33083332,-1.46090438,6.1,3.79,1,4,576,0,171,23,6,8,2,6,7,52,803
7818,S,2020,2020-06-05,18,8,Yorkshire and The Humber,159,Sheffield,A6102,Major,A61,A6135,436000,381680,53.33083332,-1.46090438,6.1,3.79,2,4,633,0,75,2,0,0,0,1,5,8,720
7818,S,2020,2020-06-05,9,8,Yorkshire and The Humber,159,Sheffield,A6102,Major,A61,A6135,436000,381680,53.33083332,-1.46090438,6.1,3.79,0,2,480,0,206,26,8,11,0,8,4,57,745
7818,N,2020,2020-06-05,7,8,Yorkshire and The Humber,159,Sheffield,A6102,Major,A61,A6135,436000,381680,53.33083332,-1.46090438,6.1,3.79,0,5,619,1,182,13,4,1,2,3,1,24,831
7818,N,2020,2020-06-05,16,8,Yorkshire and The Humber,159,Sheffield,A6102,Major,A61,A6135,436000,381680,53.33083332,-1.46090438,6.1,3.79,0,1,907,0,226,13,1,3,1,5,2,25,1159
7818,N,2020,2020-06-05,12,8,Yorkshire and The Humber,159,Sheffield,A6102,Major,A61,A6135,436000,381680,53.33083332,-1.46090438,6.1,3.79,1,5,870,0,178,22,1,6,3,2,4,38,1091
7818,N,2020,2020-06-05,17,8,Yorkshire and The Humber,159,Sheffield,A6102,Major,A61,A6135,436000,381680,53.33083332,-1.46090438,6.1,3.79,1,2,791,3,130,8,0,0,2,0,3,13,939
7818,N,2020,2020-06-05,9,8,Yorkshire and The Humber,159,Sheffield,A6102,Major,A61,A6135,436000,381680,53.33083332,-1.46090438,6.1,3.79,1,1,541,0,160,12,5,8,1,4,9,39,741
7818,S,2020,2020-06-05,16,8,Yorkshire and The Humber,159,Sheffield,A6102,Major,A61,A6135,436000,381680,53.33083332,-1.46090438,6.1,3.79,3,2,982,0,176,3,1,0,0,2,1,7,1167
7818,S,2020,2020-06-05,15,8,Yorkshire and The Humber,159,Sheffield,A6102,Major,A61,A6135,436000,381680,53.33083332,-1.46090438,6.1,3.79,5,3,878,0,192,12,2,3,1,5,1,24,1097
